Data set,Top 500 Topic Clusters by Scholarly Output
Entity,"National Cheng Kung University"
Year range,2013 to 2017
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,8 March 2019
Date exported,8 April 2019

,,At this Institution,,,,Worldwide
Topic Cluster,Topic Cluster Number,Scholarly Output,Publication share (%),Growth (%),Field-Weighted Citation Impact,Prominence percentile
"Sleep; Obstructive Sleep Apnea; Sleep Apnea Syndromes",TC.78,57,0.19,-49.7,1.12,95.783
"Phosphors; Luminescence; Light Emission",TC.91,57,0.2,-25.1,1.01,96.252
"Design; Product Design; Product Development",TC.263,57,0.38,22.7,0.97,69.478
"Design; Human Computer Interaction; Augmented Reality",TC.231,56,0.23,2.8,1.0,82.865
"Arsenic; Arsenate; Iron Oxides",TC.569,56,0.62,-82.8,1.03,84.471
"Image Coding; Video Signal Processing; Image Compression",TC.250,54,0.46,-14.4,0.5,50.602
"Microbial Fuel Cells; Anaerobic Digestion; Bioreactors",TC.65,53,0.15,-72.3,1.39,99.063
"Proton Exchange Membrane Fuel Cells (PEMFC); Electrocatalysts; Electrolytic Reduction",TC.229,52,0.26,-60.6,1.12,96.988
"CMOS Integrated Circuits; Networks (Circuits); Amplifiers (Electronic)",TC.355,51,0.47,-57.7,1.04,46.386
"Attention; Brain; Learning",TC.10,51,0.11,-12.1,1.22,98.193
"Models; Risks; Finance",TC.54,51,0.14,-3.0,0.55,90.027
"Robots; Robotics; Manipulators",TC.101,50,0.16,4.5,0.78,88.956
"Industry; Innovation; Entrepreneurship",TC.24,49,0.11,-20.9,0.7,97.256
"Fiber Optic Networks; Quality Of Service; Network Architecture",TC.95,49,0.18,-58.4,0.74,87.216
"Data Storage Equipment; Program Processors; Applications",TC.92,49,0.17,-30.1,0.72,81.928
"Zircon; Uranium-Lead Dating; Geochronology",TC.2,48,0.13,-11.7,0.77,96.854
"Cells; Neoplasms; Hydrogels",TC.166,48,0.22,-31.9,0.85,97.055
"Shoulder; Rotator Cuff; Tendons",TC.241,47,0.24,60.5,0.61,77.242
"Work; Personality; Psychology",TC.29,47,0.12,-15.3,1.23,96.452
"MicroRNAs; Long Untranslated RNA; Neoplasms",TC.219,47,0.11,74.0,2.69,99.398
"Supply Chains; Supply Chain Management; Industry",TC.146,47,0.19,-48.0,1.09,95.382
"Bone And Bones; Osteoporosis; Bone Density",TC.45,47,0.17,19.4,0.89,92.972
"Insulators; Quantum Dots; Spin",TC.186,46,0.26,273.7,1.41,93.775
"Arabidopsis; Plants; Genes",TC.11,45,0.1,140.2,1.39,98.862
"Chronic Renal Insufficiency; Renal Dialysis; Dialysis",TC.221,44,0.28,-0.8,0.81,81.995
"Neoplasms; Patients; Palliative Care",TC.77,44,0.14,7.7,1.1,95.047
"Global Positioning System; Satellites; Navigation",TC.712,44,0.48,-54.7,0.81,51.673
"Cryptography; Authentication; Data Privacy",TC.84,43,0.11,-73.3,1.64,93.24
"Photogrammetry; Unmanned Aerial Vehicles (UAV); Remote Sensing",TC.972,43,0.58,-63.1,0.64,57.229
"Students; Teaching; Education; E-Learning",TC.200,43,0.18,-44.8,1.18,86.278
"Data Envelopment Analysis; Banks; Efficiency",TC.384,42,0.31,-5.0,1.45,79.25
"Photonics; Optical Communication; Optical Fibers",TC.113,42,0.16,-21.8,0.38,79.518
"Reynolds Number; Boundary Layers; Large Eddy Simulation",TC.34,42,0.13,-18.0,0.39,89.96
"Spine; Patients; Low Back Pain",TC.23,41,0.1,-18.5,0.56,93.039
