Data set,Top 500 Topic Clusters by Scholarly Output
Entity,"University of Massachusetts"
Year range,2013 to 2017
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,8 March 2019
Date exported,8 April 2019

,,At this Institution,,,,Worldwide
Topic Cluster,Topic Cluster Number,Scholarly Output,Publication share (%),Growth (%),Field-Weighted Citation Impact,Prominence percentile
"Solitons; Waves; Nonlinear Equations",TC.235,41,0.3,-4.7,0.98,72.49
"Fossils; Pleistocene; Paleolithic",TC.127,40,0.28,-53.3,1.85,80.522
"Lizards; Turtles; Frogs",TC.126,39,0.26,52.7,1.36,76.506
"Zircon; Uranium-Lead Dating; Geochronology",TC.2,39,0.1,-35.7,1.4,96.854
"Methods; Test; Psychometrics",TC.962,38,0.69,-21.6,0.89,39.424
"Antennas; Slot Antennas; Microwave Antennas",TC.55,37,0.08,-12.6,0.77,91.031
"Psychotherapy; Counseling; Psychology",TC.311,36,0.38,179.9,0.84,53.949
"Media; News; Journalism",TC.279,36,0.18,-15.9,1.91,81.593
"Sleep; Obstructive Sleep Apnea; Sleep Apnea Syndromes",TC.78,36,0.12,109.4,2.23,95.783
"Particulate Matter; Air Pollution; Air Pollutants",TC.431,35,0.28,100.0,2.26,89.09
"Sports; Athletes; Football",TC.567,35,0.35,-41.8,1.13,52.945
"Pregnancy; Pre-Eclampsia; Women",TC.85,35,0.15,63.6,1.54,90.696
"Emotions; Anxiety; Depression",TC.167,35,0.14,0.7,1.27,95.515
"Cells; Drosophila; Neoplasms",TC.110,35,0.15,27.4,1.27,94.645
"Remote Sensing; Image Classification; Satellite Imagery",TC.153,35,0.12,183.2,1.34,95.114
"Gambling; Internet; Students",TC.555,35,0.28,220.0,1.66,87.751
"Aerosols; Air Quality; Atmospheric Aerosols",TC.42,35,0.11,-10.3,1.14,97.59
"Computer Crime; Network Security; Intrusion Detection",TC.218,34,0.12,27.4,1.79,88.822
"Research; Communication; Dance",TC.764,34,0.44,-28.3,1.43,37.416
"Photocatalysis; Photocatalysts; Solar Cells",TC.8,33,0.04,4.7,2.61,99.933
"Electric Power Transmission Networks; Wind Power; Electric Power Distribution",TC.28,33,0.05,68.2,2.84,99.13
"Volatile Oils; Antioxidants; Oils",TC.366,33,0.26,18.0,2.24,85.542
"Microtubules; Cilia; Phosphotransferases",TC.393,32,0.28,-5.9,0.81,85.074
"Oceans; Lakes; Dissolved Organic Matter",TC.52,32,0.13,-39.9,1.25,95.984
"Fluidized Beds; Fluidization; Granular Materials",TC.461,32,0.35,29.9,1.52,71.888
"Benthic Foraminifera; Planktonic Foraminifera; Paleoceanography",TC.773,32,0.79,194.2,2.32,59.371
"Literacy; Teacher; Student",TC.450,32,0.28,46.4,1.92,46.185
"Fisheries; Sharks; Fish",TC.63,31,0.14,-49.1,1.22,90.228
"Beetle; Bark Beetles; Curculionidae",TC.814,31,0.86,5.0,1.47,44.11
"Biofuels; Biomass; Bioenergy",TC.490,31,0.33,100.6,1.75,81.459
"Verbs; Language; Semantics",TC.298,31,0.23,-72.9,1.08,28.179
"Teacher; School; Education",TC.150,31,0.15,-54.5,1.22,74.967
"Wireless Sensor Networks; Sensor Nodes; Routing Protocols",TC.27,31,0.05,-100.0,2.92,96.519
"Emulsification; Emulsions; Emulsion Polymerization",TC.802,30,0.49,96.9,1.35,75.971
"Hearing; Hearing Loss; Cochlear Implants",TC.66,30,0.13,68.2,0.92,87.483
"Student; College; Education",TC.708,30,0.4,737.0,0.86,39.692
"Bacillus Thuringiensis; Aphidoidea; Aphids",TC.129,30,0.21,-35.3,0.92,82.396
"Memory; Episodic Memory; Learning",TC.448,30,0.31,-30.8,0.97,73.226
"Party; Election; Voter",TC.172,29,0.13,40.4,1.55,78.179
"Corporate Social Responsibility; Corporate Governance; Firms",TC.56,29,0.09,136.1,1.61,92.905
"Cells; Neoplasms; Hydrogels",TC.166,28,0.13,40.1,1.07,97.055
"Stroke; Gait; Rehabilitation",TC.48,28,0.07,55.9,0.96,96.787
"Aquifers; Groundwater Resources; Groundwater Flow",TC.282,28,0.24,35.4,1.14,80.187
"Oxytocin; Hydrocortisone; Anxiety",TC.432,28,0.33,274.8,2.0,82.664
"Drosophila; Drosophila Melanogaster; Genetic Selection",TC.459,28,0.33,-26.3,1.17,81.258
"Students; Teaching; Education; E-Learning",TC.200,28,0.12,-54.9,1.56,86.278
"Family; Woman; Marriage",TC.500,28,0.35,236.3,2.64,47.992
"Gasification; Pyrolysis; Coal",TC.87,27,0.09,-9.0,3.03,98.527
"Arsenic; Arsenate; Iron Oxides",TC.569,27,0.3,-39.9,1.9,84.471
"Primates; Pan Troglodytes; Behavior",TC.350,27,0.3,86.9,1.64,75.435
"Formicidae; Hymenoptera; Ant",TC.260,26,0.23,139.6,1.54,82.329
"Genes; Gene Regulatory Networks; Gene Expression",TC.362,26,0.15,-33.3,0.93,90.495
"Tourism; Tourists; Destination",TC.239,26,0.14,9.2,1.02,85.743
"Nanopores; DNA; Nanofluidics",TC.1487,26,0.94,-54.3,2.1,58.032
"Alcohols; Reward; Cocaine",TC.132,26,0.15,-32.6,1.45,92.771
"Cognitive Radio; MIMO Systems; Orthogonal Frequency Division Multiplexing",TC.3,26,0.03,77.2,1.76,97.523
"Bioremediation; Biodegradation; Soils",TC.280,26,0.22,-57.7,0.85,86.212
"Emigrants And Immigrants; Hispanic Americans; Acculturation",TC.646,26,0.31,3.2,1.64,61.513
"Metagenome; Probiotics; Bacteria",TC.215,25,0.11,27.7,2.59,98.661
"Nanoparticles; Liposomes; Pharmaceutical Preparations",TC.473,25,0.24,20.5,1.69,91.7
"Vowels; Language; Dialect",TC.418,25,0.26,172.4,1.11,35.274
"Hydrogels; Acrylic Monomers; Swelling",TC.506,24,0.26,97.7,1.89,87.617
"Classification (Of Information); Learning Systems; Algorithms",TC.195,24,0.09,297.4,1.8,88.487
"Violence; Women; Child",TC.310,24,0.17,132.7,2.55,78.782
"Pharmaceutical Preparations; Nanoparticles; Tablets",TC.82,24,0.09,62.6,2.46,97.39
"Salmonella; Escherichia Coli; Listeria Monocytogenes",TC.40,24,0.09,-74.0,0.84,93.641
"Tree Ring; Trees; Growth Rings",TC.370,24,0.26,30.4,1.5,85.676
"Insulators; Quantum Dots; Spin",TC.186,24,0.14,32.9,1.5,93.775
"Fixed Point; Fixed Point Theorem; Metric Space",TC.301,24,0.17,-2.4,2.41,53.614
"Schools; Students; Disability",TC.394,24,0.26,566.3,0.64,51.272
"Disasters; Floods; Risks",TC.438,24,0.16,31.1,0.96,83.467
"Breast Neoplasms; Tamoxifen; Estrogen Receptors",TC.439,24,0.35,-71.8,1.05,71.553
"Potential; Parity; Equations",TC.927,23,0.53,-84.9,1.87,38.889
"Supply Chains; Supply Chain Management; Industry",TC.146,23,0.09,106.3,1.86,95.382
"Industry; Innovation; Entrepreneurship",TC.24,22,0.05,-46.6,1.77,97.256
"Mathematics; Students; Teacher",TC.391,22,0.18,134.8,1.96,65.529
"Agents; Game Theory; Models",TC.173,22,0.1,-20.2,0.76,81.058
"Wind Turbines; Wind Power; Asynchronous Generators",TC.423,22,0.12,-59.8,1.42,85.609
"Detectors; High Energy Physics; Readout Systems",TC.560,22,0.27,-39.6,5.36,45.716
"Asteroids; Comets; Mars",TC.133,22,0.14,-65.9,1.75,86.747
"Ligands; Crystal Structure; Organometallics",TC.71,22,0.07,-41.9,0.85,99.331
"Clostridium Difficile; Clostridium Infections; Anthrax",TC.610,21,0.29,7.8,1.44,66.934
"Scanning Tunneling Microscopy; Density Functional Theory; Surfaces",TC.216,21,0.29,-6.5,2.15,73.896
"Fires; Forests; Wildfires",TC.278,21,0.19,22.5,1.11,77.778
"Polychlorinated Biphenyls; Organic Pollutants; Halogenated Diphenyl Ethers",TC.209,21,0.13,796.9,2.18,94.311
"Prime; Integer; Conjecture",TC.291,21,0.19,-11.1,0.77,24.565
"Neoplasms; Patients; Palliative Care",TC.77,21,0.06,3.6,1.52,95.047
