Data set,Top 500 Topic Clusters by Scholarly Output
Entity,"World"
Year range,2013 to 2017
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,8 March 2019
Date exported,8 April 2019


Topic Cluster,Topic Cluster Number,Scholarly Output,Field-Weighted Citation Impact,Prominence percentile
"Ultrasonics; Elasticity Imaging Techniques; Ultrasonic Imaging",TC.428,11718,1.18,75.837
"Sports; Students; Athletes",TC.443,11713,1.05,73.293
"Robots; Robotics; Human Robot Interaction",TC.591,11699,1.12,67.001
"Algae; Microalgae; Biodiesel",TC.517,11666,1.32,92.637
"Forming; Metal Forming; Sheet Metal",TC.413,11664,0.77,64.859
"Analgesia; Nerve Block; Bupivacaine",TC.305,11653,0.88,64.324
"Structural Health Monitoring; Damage Detection; Modal Analysis",TC.514,11636,0.91,69.746
"Literacy; Teacher; Student",TC.450,11604,0.94,46.185
"Bioremediation; Biodegradation; Soils",TC.280,11582,0.83,86.212
"Library; Librarian; Information",TC.277,11553,0.66,49.933
"Psychoanalysis; Psychotherapy; Patients",TC.289,11532,0.34,25.77
"Harmonic Generations; Ultrashort Pulses; Laser Pulses",TC.386,11524,0.74,70.616
"Cambrian; Cretaceous; Ordovician",TC.44,11522,0.92,75.502
"Ticks; Lyme Disease; Borrelia Burgdorferi",TC.269,11507,1.01,75.368
"Mitochondria; Mitochondrial DNA; Mutation",TC.320,11496,1.25,88.554
"Genome; Bacterial Typing Techniques; Vitamin K 2",TC.456,11480,0.93,80.656
"Students; Engineering; Education",TC.306,11380,0.78,45.315
"Liquid Crystals; Nematic Liquid Crystals; Liquid Crystal Displays",TC.220,11371,0.8,81.325
"Inertial Confinement Fusion; Laser Produced Plasmas; Plasmas (Physics)",TC.312,11358,0.81,65.06
"Polyurethanes; Shape Memory Effect; Epoxy Resins",TC.402,11350,1.09,87.885
"Microtubules; Cilia; Phosphotransferases",TC.393,11345,1.01,85.074
"Formicidae; Hymenoptera; Ant",TC.260,11282,1.07,82.329
"Prime; Integer; Conjecture",TC.291,11258,0.73,24.565
"Cables; Circular Cylinders; Fluid Structure Interaction",TC.466,11222,0.63,53.681
"Quantitative Structure-Activity Relationship; Drug Discovery; Pharmaceutical Preparations",TC.387,11195,1.17,78.313
"Food; Consumers; Farmers",TC.437,11169,0.93,73.628
"Rotavirus; Norovirus; Coronavirus",TC.403,11161,1.46,81.66
"Martin Heidegger; Nietzsche; Phenomenology",TC.546,11153,0.7,22.222
"European Union (EU); Europe; Governance",TC.505,11147,1.06,46.319
"Magnetic Resonance Imaging; Image Segmentation; Medical Imaging",TC.507,11146,1.14,69.88
"Orbits; Spacecraft; Satellites",TC.493,11112,0.93,54.552
"Leishmania; Visceral Leishmaniasis; Trypanosoma Cruzi",TC.261,11051,1.0,77.376
"Pheochromocytoma; Paraganglioma; Hydrocortisone",TC.286,11034,0.82,69.344
"CMOS Integrated Circuits; Networks (Circuits); Amplifiers (Electronic)",TC.355,10966,0.86,46.386
"Cracks; Stress Intensity Factors; Crack Propagation",TC.303,10921,0.73,61.312
"Students; Russian; Education",TC.1114,10889,0.99,68.474
"Electroencephalography; Brain Computer Interface; Electrophysiology",TC.659,10874,1.14,76.975
"Near Infrared Spectroscopy; Raman Spectrum Analysis; Infrared Devices",TC.451,10867,0.93,78.715
"Fires; Forests; Wildfires",TC.278,10865,1.03,77.778
"Atoms; Bose-Einstein Condensates; Gases",TC.332,10840,1.23,81.392
"Health; Costs And Cost Analysis; Neoplasms",TC.584,10832,1.21,72.892
"Conflict; Peace; War",TC.489,10779,1.08,51.874
"Ultrashort Pulses; Laser Induced Breakdown Spectroscopy; Ultrafast Lasers",TC.435,10764,0.84,76.104
"India; Indian; Politics",TC.475,10763,0.85,34.137
"Pituitary Neoplasms; Growth Hormone; Acromegaly",TC.217,10747,0.75,68.942
"Malnutrition; Enteral Nutrition; Patients",TC.313,10703,0.87,71.285
"Steganography; Watermarking; Digital Watermarking",TC.525,10699,0.86,56.693
"Artificial Intelligence; Algorithms; Semantics",TC.411,10697,1.06,52.878
"Neutrons; Nuclear Reactors; Fuels",TC.519,10661,0.63,47.055
"Inflammasomes; Inflammation; Toll-Like Receptor 4",TC.551,10653,1.38,86.948
"Sphingosine; Enzyme Replacement Therapy; Sphingolipids",TC.330,10643,0.97,81.191
"Drying; Moisture Determination; Thermal Processing (Foods)",TC.405,10582,0.86,79.853
"Nanoparticles; Liposomes; Pharmaceutical Preparations",TC.473,10582,1.49,91.7
"Wounds And Injuries; Patients; Emergencies",TC.380,10561,0.67,51.339
"Hernia; Herniorrhaphy; Laparoscopy",TC.395,10538,0.72,56.158
"Atomic Force Microscopy; Self Assembled Monolayers; Molecules",TC.345,10511,0.91,84.137
"Calcium; Calcium Signaling; Ion Channels",TC.232,10504,0.92,78.112
"Wounds And Injuries; Pressure Ulcer; Bandages",TC.372,10477,0.85,66.667
"Applications; Models; Ubiquitous Computing",TC.440,10433,1.01,63.253
"Thermoelectricity; Thermoelectric Equipment; Thermal Conductivity",TC.619,10376,1.22,89.558
"Soviet; Holocaust; Russia",TC.469,10375,0.6,13.32
"Transgendered Persons; Female Homosexuality; Bisexuality",TC.580,10367,1.45,74.9
"Landslides; Debris Flow; Slope Stability",TC.553,10346,0.93,69.076
"China; Chinese; Hong Kong",TC.471,10271,0.96,48.862
"Mussels; Bivalvia; Oysters",TC.244,10270,0.88,75.636
"China; Asia; Chinese",TC.495,10239,0.85,42.503
"Water; Water Resources; Water Management",TC.527,10223,1.13,79.585
"Research; Technology; Industry",TC.637,10211,1.31,70.281
"Electrical Resistivity; Ground Penetrating Radar Systems; Geological Surveys",TC.508,10200,0.69,49.799
"Research; Clinical Trials As Topic; Patients",TC.463,10192,0.97,62.048
"Multiple Myeloma; Amyloidosis; Patients",TC.415,10165,1.03,77.108
"Vaccination; Vaccines; Immunization",TC.367,10163,1.03,70.482
"Photochemotherapy; Porphyrins; Photosensitizing Agents",TC.314,10149,0.87,85.81
"Justice; Theory; Human Rights",TC.570,10135,1.0,39.759
"Artificial Respiration; Adult Respiratory Distress Syndrome; Noninvasive Ventilation",TC.382,10065,1.03,71.218
"Humor; Conversation Analysis; Politeness",TC.530,10063,1.2,47.858
"Lipases; Biocatalysts; Biocatalysis",TC.323,10033,0.9,87.082
"Microscopy; Microscopic Examination; Imaging Techniques",TC.602,10029,1.01,82.731
"Heart Arrest; Cardiopulmonary Resuscitation; Out-Of-Hospital Cardiac Arrest",TC.496,10011,1.25,70.884
"Explosives; Propellants; Detonation",TC.464,9999,0.68,69.009
"Viruses; Mosaic Viruses; Phytoplasma",TC.293,9988,0.87,74.364
"Health; Socioeconomic Factors; Mortality",TC.537,9977,1.17,75.301
"Genome-Wide Association Study; Single Nucleotide Polymorphism; Genes",TC.592,9969,1.28,84.203
"Sensors; Accelerometers; Smartphones",TC.880,9932,1.35,69.813
"Metallic Glass; Amorphous Alloys; Alloys",TC.361,9921,1.12,86.68
"Nanomagnetics; Magnetic Fluids; Nanoparticles",TC.680,9918,1.14,88.22
"Rice; Corn; Wheat",TC.339,9914,0.88,71.352
"Breast Neoplasms; Genetic Testing; Risk",TC.587,9892,1.39,80.991
"Ethylenes; Apples; Fruit",TC.308,9892,0.92,74.632
"Sports; Athletes; Football",TC.567,9890,0.95,52.945
"Roofs; Heat Island; Buildings",TC.622,9883,1.11,84.404
"Criminals; Violence; Mental Health",TC.388,9882,0.91,63.32
"Magnetron Sputtering; Nitriding; Coatings",TC.369,9859,0.79,72.289
"Rhinitis; Sinusitis; Patients",TC.336,9854,0.74,57.028
"Flame Retardants; Fires; Smoke",TC.578,9840,0.86,71.954
"Constipation; Irritable Bowel Syndrome; Patients",TC.324,9797,0.97,73.494
"Ionic Liquids; Eutectics; Negative Ions",TC.847,9784,1.3,92.102
"Sarcopenia; Patients; Aged",TC.782,9773,1.74,82.129
"Muscles; Duchenne Muscular Dystrophy; Skeletal Muscle",TC.385,9746,1.11,80.589
"Health Literacy; Patients; Internet",TC.717,9743,1.32,69.612
"Tribology; Friction; Wear Of Materials",TC.458,9720,0.69,65.194
"Opioid Analgesics; Pain; Prescriptions",TC.510,9720,1.52,78.916
"Vascular Endothelial Growth Factor A; Neoplasms; Endothelial Cells",TC.429,9706,1.06,79.05
"Navier-Stokes Equations; Wave Equations; Compressible",TC.460,9694,0.91,45.047
"Optical Communication; Light Emitting Diodes; Atmospheric Turbulence",TC.796,9678,1.2,58.434
"Ferrites; Saturation Magnetization; Magnetic Properties",TC.501,9678,1.03,83.266
"Students; Teaching; Education; Computer Science",TC.559,9634,0.93,53.414
"Beams (Radiation); Accelerators; Free Electron Lasers",TC.426,9593,0.78,40.964
"Science; Risks; Nanotechnology",TC.550,9588,1.38,71.687
"Memory; Episodic Memory; Learning",TC.448,9577,1.17,73.226
"Psychotherapy; Counseling; Psychology",TC.311,9573,0.67,53.949
"Theatre; Fiction; Introduction",TC.547,9569,0.7,9.906
"Child; Geography; Research",TC.596,9568,1.02,49.398
"Vowels; Language; Dialect",TC.418,9567,0.96,35.274
"Insulin; Insulin-Secreting Cells; Islets Of Langerhans",TC.331,9561,1.07,82.062
"Railroads; Rails; Railroad Transportation",TC.606,9535,0.62,51.606
"Breast Feeding; Mothers; Infant",TC.552,9529,0.93,64.458
"Failure Analysis; Bearings (Machine Parts); Roller Bearings",TC.670,9501,0.96,62.851
"Apoptosis; Cells; Neoplasms",TC.421,9475,1.16,84.806
"Urinary Bladder Neoplasms; Cystectomy; Carcinoma",TC.417,9463,1.0,66.131
"Tree Ring; Trees; Growth Rings",TC.370,9404,1.46,85.676
"Breast; Fats; Eyelids",TC.511,9382,0.74,42.838
"Biofuels; Biomass; Bioenergy",TC.490,9376,1.03,81.459
"Fractional Differential Equation; Positive Solution; Impulsive",TC.410,9370,0.97,44.712
"Suicide; Suicidal Ideation; Wounds And Injuries",TC.531,9347,1.1,73.829
"Hybrid Vehicles; Fuel Economy; Electric Vehicles",TC.727,9346,0.95,64.659
"Predator Prey Systems; Epidemic Model; Predator-Prey Model",TC.561,9303,1.02,61.58
"International Relations; Security; Politics",TC.548,9257,1.05,36.814
"Ubiquitins; Endoplasmic Reticulum Stress; Proteasome Endopeptidase Complex",TC.687,9247,1.11,83.869
"Global Positioning System; Satellites; Navigation",TC.712,9242,0.83,51.673
"Guided Electromagnetic Wave Propagation; Structural Health Monitoring; Ultrasonic Waves",TC.520,9231,0.85,60.509
"Fluidized Beds; Fluidization; Granular Materials",TC.461,9216,0.8,71.888
"Syphilis; Chlamydia Trachomatis; Infection",TC.348,9183,0.94,66.399
"Geographic Information Systems; Maps; Models",TC.515,9179,0.89,55.355
"Breast Neoplasms; Early Detection Of Cancer; Women",TC.595,9163,1.09,75.033
"Rivers; Scour; Sediment Transport",TC.468,9163,0.89,67.671
"Africa; African; South Africa",TC.483,9161,0.89,34.337
"Hydrogels; Acrylic Monomers; Swelling",TC.506,9149,1.14,87.617
"Schools; Students; Disability",TC.394,9130,0.83,51.272
"Polysaccharides; Glycosylation; Galectin 3",TC.462,9126,1.13,85.341
"Dogs; Cats; Neoplasms",TC.326,9125,0.93,45.181
"Antioxidants; Rats; Silymarin",TC.540,9118,0.76,69.277
"Contraception; Women; Contraceptive Agents",TC.409,9113,0.93,60.776
"Hematopoietic Stem Cell Transplantation; Graft Vs Host Disease; Transplants",TC.307,9088,0.84,69.411
"Primates; Pan Troglodytes; Behavior",TC.350,9081,1.26,75.435
"Sausages; Meat; Pork",TC.349,9057,0.84,74.096
"Electrospinning; Nanofibers; Spinning (Fibers)",TC.834,9049,1.12,85.475
"Optimization; Uncertainty Analysis; Reliability Analysis",TC.683,9044,1.02,60.107
"Human Engineering; Ergonomics; Automation",TC.588,9019,0.98,56.961
"Arsenic; Arsenate; Iron Oxides",TC.569,8987,1.06,84.471
"Learning; Students; Education",TC.557,8951,0.98,50.937
"Bacillariophyta; Dinophyceae; Toxins",TC.334,8913,0.96,78.447
"PPAR Gamma; AMP-Activated Protein Kinases; Lipids",TC.434,8893,1.13,80.723
"Microfinance; Farmers; Cooperative",TC.532,8820,0.78,57.764
"Land Use; Models; Rural Areas",TC.558,8809,0.75,57.363
"Intubation; Airway Management; Intratracheal Intubation",TC.470,8785,0.83,50.201
"Forest; Deforestation; Conservation",TC.663,8774,1.42,75.1
"Wastes; Solid Wastes; Municipal Solid Waste",TC.703,8754,1.08,79.719
"Photosystem II Protein Complex; Photosynthesis; Chlorophyll",TC.329,8719,1.12,83.668
"Gastrointestinal Stromal Tumors; Neoplasms; Hemorrhage",TC.528,8694,0.65,47.59
"Folic Acid; Homocysteine; Vitamin B 12",TC.378,8687,0.9,72.825
"Acoustic Waves; Musical Instruments; Computer Music",TC.664,8672,0.93,40.897
"France; Education; Work",TC.504,8663,0.64,27.778
"Plants; Rhizosphere; Rhizobium",TC.488,8644,1.27,83.4
"Electrocardiography; Heart; Monitoring",TC.792,8639,1.07,61.78
"Neoplastic Stem Cells; Neoplasms; Breast Neoplasms",TC.860,8628,1.24,83.735

"© 2019 Elsevier B.V. All rights reserved. SciVal, RELX Group and the RE symbol are trade marks of RELX Intellectual Properties SA, used under license."
