Data set,Top 500 Topic Clusters by Scholarly Output
Entity,"Instituto Tecnologico de Estudios Superiores de Monterrey"
Year range,2013 to 2017
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,8 March 2019
Date exported,8 April 2019

,,At this Institution,,,,Worldwide
Topic Cluster,Topic Cluster Number,Scholarly Output,Publication share (%),Growth (%),Field-Weighted Citation Impact,Prominence percentile
"Neural Networks; Forecasting; Algorithms",TC.725,3,0.06,-100.0,0.46,43.507
"Cricetulus; CHO Cells; Ovary",TC.1124,3,0.08,-,1.21,36.212
"Polycystic Ovary Syndrome; Women; Oocytes",TC.253,3,0.02,-,0.79,77.711
"Gasification; Pyrolysis; Coal",TC.87,3,0.01,-100.0,0.95,98.527
"Pervasive Child Development Disorders; Autistic Disorder; Child",TC.139,3,0.01,-,0.0,93.976
"Artificial Intelligence; Algorithms; Semantics",TC.411,3,0.03,-100.0,0.46,52.878
"Rice; Corn; Wheat",TC.339,3,0.03,-100.0,1.18,71.352
"Painting; Art; Painters",TC.741,3,0.05,-,0.69,1.606
"Clostridium Difficile; Clostridium Infections; Anthrax",TC.610,3,0.04,-,1.05,66.934
"Quantitative Structure-Activity Relationship; Drug Discovery; Pharmaceutical Preparations",TC.387,3,0.03,-,0.17,78.313
"Offense; Police; Offender",TC.207,3,0.02,-,0.44,75.234
"Bariatric Surgery; Gastric Bypass; Obesity",TC.865,3,0.04,-100.0,2.41,71.486
"Optical Radar; Absorption Spectroscopy; Molecular Spectroscopy",TC.696,3,0.05,-,0.0,44.444
"Education; Student; University",TC.666,3,0.04,-,0.0,45.649
"Agriculture; Fruits; Agricultural Machinery",TC.1194,3,0.07,-12.5,0.13,40.696
"Herbicides; Soils; Pesticides",TC.732,3,0.06,111.1,0.61,64.19
"Student; Education; Learning",TC.913,3,0.05,-4.2,0.18,37.483
"Memristors; MOSFET Devices; Data Storage Equipment",TC.131,3,0.01,-,0.53,90.295
"Women; Cesarean Section; Parturition",TC.397,3,0.03,-,0.22,67.202
"Religion; Church; Religious",TC.809,3,0.05,-,0.61,12.182
"Enterovirus; Poliomyelitis; Myocarditis",TC.871,3,0.05,-,1.64,55.957
"Law; Offense; Neurosciences",TC.786,3,0.05,-,0.0,24.163
"Matrix; Matrix Algebra; Matrix Equation",TC.783,3,0.06,-,0.55,21.553
"Bone And Bones; Osteoporosis; Bone Density",TC.45,3,0.01,-,0.64,92.972
"Gravitation; Black Holes (Astronomy); Models",TC.15,3,0.01,-,0.57,95.716
"Africa; African; South Africa",TC.483,3,0.03,-17.2,0.05,34.337
"Nigeria; Africa; African",TC.513,3,0.03,-,1.64,23.092
"Potatoes; Solanum Tuberosum; Tubers",TC.1161,3,0.12,-,1.57,29.853
"Trade Unions; Workers; Labor",TC.524,3,0.05,30.0,0.73,30.723
"Metaphor; Dictionary; Language",TC.1174,3,0.06,-100.0,0.26,20.013
"Measurements; Machine Tools; Errors",TC.686,3,0.04,-,0.72,35.475
"Olea; Oils; Oils And Fats",TC.598,3,0.04,-,0.7,77.644
"Exercise; Athletes; Muscles",TC.100,3,0.01,-,0.38,92.369
"Neutrophils; NADPH Oxidase; Reactive Oxygen Species",TC.1038,3,0.07,-,1.53,66.265
"RNA; Ribosomes; Proteins",TC.171,3,0.02,-100.0,0.15,95.315
"Fatty Liver; Liver Diseases; Alcoholic Fatty Liver",TC.1042,3,0.04,-23.4,0.83,77.175
"Artificial Intelligence; Algorithms; Computers",TC.1151,3,0.06,-53.9,0.61,33.266
"Verbs; Language; Semantics",TC.298,3,0.02,-,1.29,28.179
"Amyotrophic Lateral Sclerosis; Motor Neurons; Patients",TC.1021,3,0.05,-18.2,0.83,78.514
"Geographic Information Systems; Maps; Models",TC.515,3,0.03,130.4,1.52,55.355
"Archaeology; Maya; Mexico",TC.383,3,0.04,-100.0,0.0,26.64
"Sepsis; Acute Kidney Injury; Patients",TC.251,3,0.02,-,1.13,88.153
"Acoustic Surface Wave Devices; Resonators; Acoustic Waves",TC.992,3,0.08,-,0.25,32.396
"Planning; Governance; Community",TC.577,3,0.04,-100.0,0.0,60.643
"Literacy; Teacher; Student",TC.450,3,0.03,-,0.56,46.185
"Uterine Cervical Neoplasms; Papillomavirus Infections; Women",TC.189,3,0.02,-,4.41,83.802
"Wetlands; Desertification; Plateau",TC.674,3,0.05,-,0.97,46.854
"Health; Delivery Of Health Care; Women",TC.424,3,0.02,-,1.06,76.908
"Polychlorinated Biphenyls; Organic Pollutants; Halogenated Diphenyl Ethers",TC.209,3,0.02,-,1.4,94.311
"Student; Ethics; Integrity",TC.776,3,0.06,-,0.08,38.019
"Research; Technology; Industry",TC.637,3,0.03,-,1.34,70.281
"Fatigue Of Materials; Fatigue Testing; Fatigue Crack Propagation",TC.344,3,0.03,-,0.23,64.993
"Hyaluronic Acid; Neoplasms; Glycosaminoglycans",TC.644,3,0.05,-,2.02,70.214
"Pericarditis; Pericardial Effusion; Constrictive Pericarditis",TC.1459,3,0.16,15.2,0.63,2.744
"Araneae; Spider; Arachnida",TC.685,3,0.07,-,0.71,27.979
"Terahertz Waves; Terahertz Spectroscopy; Millimeter Waves",TC.701,3,0.04,-,0.93,54.083
"Bubble Columns; Mass Transfer; Liquids",TC.805,3,0.06,-52.5,0.69,50.335
"PPAR Gamma; AMP-Activated Protein Kinases; Lipids",TC.434,3,0.03,-,1.66,80.723
"Glioma; Neoplasms; Glioblastoma",TC.222,3,0.02,-100.0,0.42,86.546
"X Rays; Fluorescence; Shielding",TC.1025,3,0.08,-,0.59,35.207
"Child; Geography; Research",TC.596,3,0.03,-,0.0,49.398
"Student; College; Education",TC.708,3,0.04,-23.9,0.35,39.692
"Data Mining; Algorithms; Association Rules",TC.846,3,0.04,-,1.32,52.61
"Music; Music Education; Music Lessons",TC.1318,3,0.1,-,0.8,11.647
"HIV; HIV Infections; HIV-1",TC.17,3,0.01,-,0.05,96.386
"Constipation; Irritable Bowel Syndrome; Patients",TC.324,3,0.03,-,0.92,73.494
"Honey; Propolis; Antioxidants",TC.1300,3,0.08,-,0.41,56.493
"Nanocrystals; Semiconductor Quantum Dots; Zinc Sulfide",TC.177,3,0.01,-,0.29,97.456
"Pemphigus; Bullous Pemphigoid; Oral Lichen Planus",TC.655,3,0.05,-100.0,1.23,42.035
"Acids; Triterpenes; Oleanolic Acid",TC.765,3,0.04,-,0.19,64.056
"Magnetic Fields; Ionospheres; Sunspots",TC.31,3,0.01,-100.0,0.0,87.282
"Semantics; Models; Recommender Systems",TC.37,3,0.01,-,1.44,96.319
"Systems Engineering; Design; Models",TC.631,3,0.04,-,0.47,46.988
"Hypertrophic Cardiomyopathy; Myosins; Cardiomyopathies",TC.554,3,0.05,-,0.26,60.576
"Amines; Carbon Dioxide; Flue Gases",TC.950,3,0.05,-,0.31,63.521
"Health; Costs And Cost Analysis; Neoplasms",TC.584,3,0.03,-,0.0,72.892
"Parkinson Disease; Deep Brain Stimulation; Patients",TC.102,3,0.01,-,0.72,95.85
"Urinary Bladder; Overactive Urinary Bladder; Women",TC.117,3,0.01,-,0.44,80.054
"Algorithms; Computer Graphics; Surfaces",TC.228,2,0.01,-,3.33,61.178
"Reynolds Number; Boundary Layers; Large Eddy Simulation",TC.34,2,0.01,-,0.17,89.96
"Proteomics; Mass Spectrometry; Proteins",TC.227,2,0.01,-,1.79,92.503
"Post-Traumatic Stress Disorders; Wounds And Injuries; Disasters",TC.283,2,0.01,-,0.12,83.936
"Oral Health; Periodontitis; Dental Caries",TC.125,2,0.01,-,0.2,84.605
"T-Lymphocytes; Neoplasms; Immunotherapy",TC.12,2,0.0,-,0.33,99.665
"Insulin; Insulin-Secreting Cells; Islets Of Langerhans",TC.331,2,0.02,-,0.38,82.062
"Prostatic Neoplasms; Prostate; Prostatectomy",TC.141,2,0.01,-,0.78,94.779
"Design; Networks (Circuits); Field Programmable Gate Arrays (FPGA)",TC.148,2,0.01,-,0.21,62.784
"Viruses; Mosaic Viruses; Phytoplasma",TC.293,2,0.02,-,2.32,74.364
"Welding; Friction Stir Welding; Welds",TC.270,2,0.01,-,0.75,84.672
"Schools; Students; Disability",TC.394,2,0.02,-,0.0,51.272
"Soil; Biochar; Soil Organic Carbon",TC.35,2,0.01,-,2.22,98.059
"Brain-Derived Neurotrophic Factor; Neurogenesis; Neurons",TC.161,2,0.01,-,0.68,89.692
"Phosphors; Luminescence; Light Emission",TC.91,2,0.01,-,1.41,96.252
"Discharge; Plasma Applications; Plasma Jets",TC.184,2,0.01,-100.0,0.0,83.534
"Basin; Mountain; Mining",TC.538,2,0.04,-100.0,2.66,29.585
"Photonic Crystals; Photonics; Waveguides",TC.203,2,0.01,-100.0,0.23,86.345
"Food; Consumers; Farmers",TC.437,2,0.02,-,3.04,73.628
"Epilepsy; Seizures; Electroencephalography",TC.73,2,0.01,-,0.0,90.763
"India; Indian; Politics",TC.475,2,0.02,-,3.69,34.137
"Helicobacter Pylori; Gastroesophageal Reflux; Helicobacter Infections",TC.90,2,0.01,4.2,0.42,85.944
"Silicon Carbide; Sintering; Ceramic Materials",TC.121,2,0.01,-100.0,0.62,88.086
"Cables; Circular Cylinders; Fluid Structure Interaction",TC.466,2,0.02,-100.0,0.83,53.681
"Chitosan; Chitin; Chitinase",TC.1065,2,0.04,-,0.71,70.08
"Formicidae; Hymenoptera; Ant",TC.260,2,0.02,-,0.78,82.329
"Atrial Fibrillation; Patients; Catheter Ablation",TC.25,2,0.01,-,0.0,94.913
"Pharmacists; Pharmaceutical Preparations; Pharmacy",TC.199,2,0.01,-,0.25,79.183
"Morus; Flavonoids; Antioxidants",TC.1017,2,0.05,-,3.96,45.248
"Reinforced Concrete; Concretes; Steel",TC.137,2,0.01,-100.0,0.68,89.224
"Secondary Batteries; Electric Batteries; Lithium Alloys",TC.30,2,0.0,-,0.16,100.0
"Rheumatoid Arthritis; Psoriasis; Patients",TC.130,2,0.01,-,0.23,91.165
"Rumen; Dairy Cows; Rumen Fermentation",TC.168,2,0.02,-,0.69,76.305
"Orbits; Spacecraft; Satellites",TC.493,2,0.02,-,0.24,54.552
"Plants; Rhizosphere; Rhizobium",TC.488,2,0.02,-,2.08,83.4
"Volunteers; Nonprofit; Charity",TC.1034,2,0.04,-,0.2,32.731
"Wings; Aircraft; Aerodynamics",TC.714,2,0.02,-,0.17,51.807
"Brazil; Health; Nursing",TC.390,2,0.02,-,0.19,41.299
"Hydrocephalus; Cerebrospinal Fluid; Patients",TC.416,2,0.02,-,0.0,45.515
"Birds; Nests; Aves",TC.869,2,0.06,-,0.17,23.963
"Coronary Artery Disease; Patients; Echocardiography",TC.268,2,0.02,-,0.0,76.372
"Sausages; Meat; Pork",TC.349,2,0.02,-,0.68,74.096
"Dyeing; Cotton Fabrics; Textiles",TC.491,2,0.03,-,4.21,50.803
"Coffee; Caffeine; Energy Drinks",TC.1192,2,0.05,-,3.0,58.635
"Verification; Model Checking; Semantics",TC.96,2,0.01,-,0.0,70.549
"Atomic Force Microscopy; Self Assembled Monolayers; Molecules",TC.345,2,0.02,-,0.05,84.137
"Nephrotic Syndrome; Podocytes; Proteinuria",TC.518,2,0.03,-,0.15,57.564
"Health; Research; Income",TC.1068,2,0.03,-,1.06,60.71
"Calcium; Calcium Signaling; Ion Channels",TC.232,2,0.02,-,0.45,78.112
"Insulators; Quantum Dots; Spin",TC.186,2,0.01,-,0.06,93.775
"Fires; Forests; Wildfires",TC.278,2,0.02,-,0.2,77.778
"Asphalt; Pavements; Asphalt Pavements",TC.389,2,0.01,-100.0,0.95,76.774
"Vaccination; Vaccines; Immunization",TC.367,2,0.02,-,0.0,70.482
"European Union (EU); Europe; Governance",TC.505,2,0.02,-100.0,1.22,46.319
"Structural Health Monitoring; Damage Detection; Modal Analysis",TC.514,2,0.02,-,0.35,69.746
"Vertigo; Cerebellum; Dizziness",TC.453,2,0.03,-100.0,1.92,58.768
"Electrocardiography; Heart; Monitoring",TC.792,2,0.02,-,0.23,61.78
"Aortic Valve; Mitral Valve; Aortic Valve Stenosis",TC.243,2,0.01,-,1.85,86.814
"Sleep; Obstructive Sleep Apnea; Sleep Apnea Syndromes",TC.78,2,0.01,-100.0,0.36,95.783
"Yeasts; Saccharomyces Cerevisiae; Fermentation",TC.485,2,0.03,-100.0,0.51,73.159
"Neoplasms; Sarcoma; Bone And Bones",TC.193,2,0.01,-,0.0,68.742
"Contraception; Women; Contraceptive Agents",TC.409,2,0.02,-,0.48,60.776
"Actinomycosis; Actinomyces; Corynebacterium",TC.1470,2,0.13,-,1.89,3.213
"Family; Woman; Marriage",TC.500,2,0.03,-15.9,0.37,47.992
"Neoplasms; Breast Neoplasms; Cells",TC.535,2,0.03,-,16.84,77.041
"Cuba; Slaves; Brazil",TC.819,2,0.03,-,0.0,9.371
"Russia; Russian; Ukraine",TC.549,2,0.02,-100.0,1.36,41.901
"Detectors; High Energy Physics; Readout Systems",TC.560,2,0.02,-,0.26,45.716
"Pigments; Painting; Bronze",TC.916,2,0.04,-,0.08,52.008
"Thymelaeaceae; Diterpenes; Volatile Oils",TC.1261,2,0.08,-,1.59,29.987
"Seismic Waves; Seismology; Seismic Data",TC.371,2,0.01,-100.0,0.15,51.138
"Fuzzy Systems; Fuzzy Inference; Neural Networks",TC.573,2,0.02,-100.0,0.09,57.898
"Wines; Vitis; Grapes",TC.544,2,0.03,-,0.41,79.987
"Intubation; Airway Management; Intratracheal Intubation",TC.470,2,0.02,-,1.06,50.201
"Hair; Alopecia; Hair Follicle",TC.824,2,0.04,-,0.0,57.162
"Glass; Glass Ceramics; Silicates",TC.447,2,0.03,-,0.7,61.714
"Romantic; Wordsworth; Jane Austen",TC.1047,2,0.05,-,0.21,1.071
"Lipases; Biocatalysts; Biocatalysis",TC.323,2,0.02,4.8,0.14,87.082
"Design Of Experiments; Design; Optimization",TC.1327,2,0.09,-100.0,0.0,6.961
"Iron; Anemia; Erythropoietin",TC.238,2,0.01,-100.0,0.5,83.133
"Appendicitis; Appendectomy; Appendix",TC.1160,2,0.06,-,0.21,24.699
"Aquifers; Groundwater Resources; Groundwater Flow",TC.282,2,0.02,-,0.29,80.187
"Proteins; Molecular Dynamics Simulation; Molecular Dynamics",TC.108,2,0.01,-,0.49,94.846
"Cystic Fibrosis; Cystic Fibrosis Transmembrane Conductance Regulator; Pseudomonas Aeruginosa",TC.641,2,0.03,-,0.0,67.537
"Necrotizing Fasciitis; Abscess; Infection",TC.1231,2,0.07,-,0.43,6.693
"Drosophila; Insects; Drosophila Melanogaster",TC.342,2,0.03,-100.0,0.49,72.222
"Trachea; Thoracic Aorta; Bronchoscopy",TC.1056,2,0.05,-,0.27,14.726
"Landslides; Debris Flow; Slope Stability",TC.553,2,0.02,-,1.94,69.076
"Adsorption; Activated Carbon; Adsorbents",TC.772,2,0.03,-,1.55,78.849
"Disinfection; Coagulation; Potable Water",TC.575,2,0.03,-,0.16,74.766
"Kalman Filters; Target Tracking; Algorithms",TC.333,2,0.01,-,1.81,59.906
"Wounds And Injuries; Firearms; Gunshot Wounds",TC.1168,2,0.06,-,0.43,16.466
"Antioxidants; Lonicera; Fruit",TC.827,2,0.03,-,0.45,55.556
"Mammaplasty; Free Tissue Flaps; Perforator Flap",TC.321,2,0.02,-,0.0,62.651
"Nanoparticles; Liposomes; Pharmaceutical Preparations",TC.473,2,0.02,-,1.74,91.7
"Surface Emitting Lasers; Semiconductor Lasers; High Power Lasers",TC.660,2,0.04,-,0.24,29.518
"Optimization; Uncertainty Analysis; Reliability Analysis",TC.683,2,0.02,-,1.39,60.107
"Stevens-Johnson Syndrome; Toxic Epidermal Necrolysis; Pharmaceutical Preparations",TC.897,2,0.04,-,0.0,36.747
"Beers; Humulus; Hops",TC.1445,2,0.12,-,0.63,28.782
"Differential Equations; Ordinary Differential Equations; Runge Kutta Methods",TC.1218,2,0.07,-,0.24,19.143
"History; Spain; Business History",TC.705,2,0.03,-,0.0,24.297
"Quantum Chemistry; Potential Energy Surfaces; Reaction",TC.255,2,0.03,-,0.67,72.021
"Corrosion; Carbon Steel; Corrosion Inhibitors",TC.196,2,0.01,-,1.24,82.463
"Applications; Models; Ubiquitous Computing",TC.440,2,0.02,-100.0,0.17,63.253
"Omega-3 Fatty Acids; Docosahexaenoic Acids; Unsaturated Fatty Acids",TC.600,2,0.03,-,0.43,74.498
"G-Protein-Coupled Receptors; Arrestins; Ligands",TC.615,2,0.04,-,0.28,72.423
"Hallucinations; Consciousness; Brain",TC.971,2,0.05,-,0.0,14.458
"Peptide Hydrolases; Enzymes; Alpha-Amylases",TC.1045,2,0.06,-,0.58,37.684
"Heart; Acoustic Waves; Cardiology",TC.1455,2,0.09,-,0.0,13.521
"Students; Russian; Education",TC.1114,2,0.02,-,0.36,68.474
"Kant; Theory; Epistemic",TC.152,2,0.01,-,0.0,50.87
"Delivery Of Health Care; Needlestick Injuries; Infection",TC.906,2,0.04,-,0.08,29.384
"Public Health; Residence Characteristics; Evaluation Studies As Topic",TC.745,2,0.03,-,0.54,42.905
"Morals; Research; Behavior",TC.267,2,0.01,-,0.48,88.019
"Mycorrhizal Fungi; Basidiomycota; Fungus",TC.479,2,0.03,-,1.25,68.005
"Wrist; Hand; Tendons",TC.566,2,0.03,-100.0,0.75,27.711
"Career; Students; Schools",TC.1133,2,0.06,-,0.34,28.983
"Theatre; Fiction; Introduction",TC.547,2,0.02,-,0.0,9.906
"Neoplasms; Carcinoma; Skin",TC.1027,2,0.05,-,0.09,8.166
"Malaria; Plasmodium Falciparum; Parasites",TC.180,2,0.01,-,0.36,89.424
"Optogenetics; Electrophysiology; Microelectrodes",TC.892,2,0.03,-,14.7,72.624
"Myasthenia Gravis; Thymoma; Encephalitis",TC.810,2,0.03,-100.0,0.0,51.205
"Futures; Foresight; Scenarios",TC.1059,2,0.04,-100.0,0.37,38.42
"Kaolinite; Clay Minerals; Nanotubes",TC.815,2,0.04,-,0.53,69.21
"Russia; Russian; Soviet",TC.1064,2,0.03,-,0.0,6.827
"Direction Of Arrival; Estimation; Beamforming",TC.822,2,0.03,-100.0,0.27,36.145
"Pectins; Polygalacturonase; Fruits",TC.1381,2,0.09,-,0.27,41.767
"Global Optimization; Combinatorial Optimization; Integer Programming",TC.1401,2,0.08,-,0.1,13.788
"Physics; Universe; Entropy",TC.948,2,0.06,-,0.0,12.45
"Guided Electromagnetic Wave Propagation; Structural Health Monitoring; Ultrasonic Waves",TC.520,2,0.02,-,1.72,60.509
"Psychology; Well-Being; Happiness",TC.713,2,0.02,-,1.12,65.663
"Mycotoxins; Aflatoxins; Ochratoxins",TC.457,2,0.02,-100.0,1.88,81.727
"Vascular Stiffness; Pulse Wave Analysis; Blood Pressure",TC.874,2,0.03,-100.0,0.23,58.568
"Law; Contract; Court",TC.1189,2,0.07,-,2.12,3.815
"Carotenoids; Vitamin A; Crocus",TC.747,2,0.04,-,2.18,64.926
"Splenectomy; Spleen; Splenomegaly",TC.1383,2,0.11,-,0.95,1.74
"Intravenous Immunoglobulins; Common Variable Immunodeficiency; Patients",TC.1070,2,0.05,-3.7,0.0,46.586
"Foreign Bodies; Eating; Child",TC.1202,2,0.06,-,1.85,6.627
"Cytology; Image Segmentation; Medical Imaging",TC.862,2,0.03,-,0.17,78.046
"Antioxidants; Rats; Silymarin",TC.540,2,0.02,-,0.85,69.277
"Magnetic Resonance Imaging; Image Segmentation; Medical Imaging",TC.507,2,0.02,-100.0,1.04,69.88
"Intelligent Buildings; Internet; Bluetooth",TC.1090,2,0.03,-100.0,0.19,41.633
"Identification (Control Systems); Models; Algorithms",TC.864,2,0.04,-,0.0,45.783
"Periodicals As Topic; Open Access; Library",TC.1015,2,0.04,-,0.0,41.432
"Electric Fault Location; Electric Lines; Electric Power Distribution",TC.407,2,0.02,3.4,0.0,56.827
"Servers; Queueing Theory; Markov Processes",TC.843,2,0.04,-,0.08,35.81
"Polyaniline; Polypyrroles; Conducting Polymers",TC.658,2,0.03,-,0.91,78.38
"Salivary Glands; Neoplasms; Carcinoma",TC.921,2,0.04,-100.0,0.54,28.514

"© 2019 Elsevier B.V. All rights reserved. SciVal, RELX Group and the RE symbol are trade marks of RELX Intellectual Properties SA, used under license."
